supply_and_consumption,year,energy_source,data
Transformacija-skupaj,2013,Zemeljski plin,-6018.255359999999
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,Električna energija,17727.0516
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,Energetski viri-SKUPAJ,-29063.64677700001
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,"Geoterm., sončna itd.",
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,Hidro energija,
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,Naftni proizvodi,-29.8626
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,Nuklearna energija,
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,Obnovljivi viri in odpadki,-2455.086
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,Surova nafta,
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,Toplota,7137.62
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,Trdna goriva,-47664.954257
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2013,Zemeljski plin,-3778.41552
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,Električna energija,876.8915999999999
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,Energetski viri-SKUPAJ,-401.5704849999999
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,"Geoterm., sončna itd.",
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,Hidro energija,
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,Naftni proizvodi,-1.917
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,Nuklearna energija,
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,Obnovljivi viri in odpadki,-634.1669999999999
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,Surova nafta,
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,Toplota,111.512
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,Trdna goriva,-247.393125
Transformacija-termoelektrarne toplarne-samoproizvajalci,2013,Zemeljski plin,-506.49696
Transformacija-termoelektrarne toplarne-skupaj,2013,Električna energija,18603.9432
Transformacija-termoelektrarne toplarne-skupaj,2013,Energetski viri-SKUPAJ,-29465.21726200001
Transformacija-termoelektrarne toplarne-skupaj,2013,"Geoterm., sončna itd.",0
Transformacija-termoelektrarne toplarne-skupaj,2013,Hidro energija,0
Transformacija-termoelektrarne toplarne-skupaj,2013,Naftni proizvodi,-31.7796
Transformacija-termoelektrarne toplarne-skupaj,2013,Nuklearna energija,0
Transformacija-termoelektrarne toplarne-skupaj,2013,Obnovljivi viri in odpadki,-3089.253
Transformacija-termoelektrarne toplarne-skupaj,2013,Surova nafta,0
Transformacija-termoelektrarne toplarne-skupaj,2013,Toplota,7249.132
Transformacija-termoelektrarne toplarne-skupaj,2013,Trdna goriva,-47912.347382
Transformacija-termoelektrarne toplarne-skupaj,2013,Zemeljski plin,-4284.91248
Transformacija-toplarne,2013,Električna energija,
Transformacija-toplarne,2013,Energetski viri-SKUPAJ,-208.7415099999998
Transformacija-toplarne,2013,"Geoterm., sončna itd.",-78
Transformacija-toplarne,2013,Hidro energija,
Transformacija-toplarne,2013,Naftni proizvodi,-249.85995
Transformacija-toplarne,2013,Nuklearna energija,
Transformacija-toplarne,2013,Obnovljivi viri in odpadki,-383.073
Transformacija-toplarne,2013,Surova nafta,
Transformacija-toplarne,2013,Toplota,2179.166
Transformacija-toplarne,2013,Trdna goriva,0
Transformacija-toplarne,2013,Zemeljski plin,-1676.97456
Transformacija-utekočinjanje,2013,Električna energija,
Transformacija-utekočinjanje,2013,Energetski viri-SKUPAJ,0
Transformacija-utekočinjanje,2013,"Geoterm., sončna itd.",
Transformacija-utekočinjanje,2013,Hidro energija,
Transformacija-utekočinjanje,2013,Naftni proizvodi,
Transformacija-utekočinjanje,2013,Nuklearna energija,
Transformacija-utekočinjanje,2013,Obnovljivi viri in odpadki,
Transformacija-utekočinjanje,2013,Surova nafta,
Transformacija-utekočinjanje,2013,Toplota,
Transformacija-utekočinjanje,2013,Trdna goriva,
Transformacija-utekočinjanje,2013,Zemeljski plin,
Uvoz,2013,Električna energija,27077.0472
Uvoz,2013,Energetski viri-SKUPAJ,204303.0103344637
Uvoz,2013,"Geoterm., sončna itd.",
Uvoz,2013,Hidro energija,
Uvoz,2013,Naftni proizvodi,134682.58107
Uvoz,2013,Nuklearna energija,
Uvoz,2013,Obnovljivi viri in odpadki,2469.448044
Uvoz,2013,Surova nafta,0
Uvoz,2013,Toplota,
Uvoz,2013,Trdna goriva,11211.58202046376
Uvoz,2013,Zemeljski plin,28862.352
Domača proizvodnja,2014,Električna energija,
Domača proizvodnja,2014,Energetski viri-SKUPAJ,155936.9061454545
Domača proizvodnja,2014,"Geoterm., sončna itd.",2925.4374
Domača proizvodnja,2014,Hidro energija,21929.598
Domača proizvodnja,2014,Naftni proizvodi,0
Domača proizvodnja,2014,Nuklearna energija,69486.89454545453
Domača proizvodnja,2014,Obnovljivi viri in odpadki,27234.993
Domača proizvodnja,2014,Surova nafta,15.7285
Domača proizvodnja,2014,Toplota,
Domača proizvodnja,2014,Trdna goriva,34252.37502
Domača proizvodnja,2014,Zemeljski plin,91.87968000000001
Izvoz,2014,Električna energija,-35987.4432
Izvoz,2014,Energetski viri-SKUPAJ,-95041.29198100002
Izvoz,2014,"Geoterm., sončna itd.",
Izvoz,2014,Hidro energija,
Izvoz,2014,Naftni proizvodi,-59005.44709300001
Izvoz,2014,Nuklearna energija,
Izvoz,2014,Obnovljivi viri in odpadki,0
Izvoz,2014,Surova nafta,-14.6105
Izvoz,2014,Toplota,
Izvoz,2014,Trdna goriva,-33.791188
Izvoz,2014,Zemeljski plin,0
Končna poraba,2014,Električna energija,45215.45999999999
Končna poraba,2014,Energetski viri-SKUPAJ,196272.231249
Končna poraba,2014,"Geoterm., sončna itd.",1923.73
Končna poraba,2014,Hidro energija,0
Končna poraba,2014,Naftni proizvodi,92618.09575900002
Končna poraba,2014,Nuklearna energija,0
Končna poraba,2014,Obnovljivi viri in odpadki,25814.030145
Končna poraba,2014,Surova nafta,0
Končna poraba,2014,Toplota,6509.741
Končna poraba,2014,Trdna goriva,2201.020265
Končna poraba,2014,Zemeljski plin,21990.15408
Končna poraba-Drugi porabniki,2014,Električna energija,11308.3308
Končna poraba-Drugi porabniki,2014,Energetski viri-SKUPAJ,18680.97132
Končna poraba-Drugi porabniki,2014,"Geoterm., sončna itd.",459
Končna poraba-Drugi porabniki,2014,Hidro energija,
Končna poraba-Drugi porabniki,2014,Naftni proizvodi,3689.5674
Končna poraba-Drugi porabniki,2014,Nuklearna energija,
Končna poraba-Drugi porabniki,2014,Obnovljivi viri in odpadki,72.128
Končna poraba-Drugi porabniki,2014,Surova nafta,
Končna poraba-Drugi porabniki,2014,Toplota,1614.46
Končna poraba-Drugi porabniki,2014,Trdna goriva,0
